"","variable","expected_gain","EVPI_do","EVPI_dont"
"n_years","n_years",NA,0,0
"discount_rate","discount_rate",3288.50447669339,205.164030081107,3493.66850677449
"establis_cost","establis_cost",3288.91917965312,0,3288.91917965312
"main_cost_stage1","main_cost_stage1",3262.54911711504,0,3262.54911711504
"main_cost_stage2","main_cost_stage2",3270.80169155288,0,3270.80169155288
"main_cost_stage3","main_cost_stage3",3271.70269270192,0,3271.70269270192
"CV_cost","CV_cost",3262.31081345643,0,3262.31081345643
"mono_cost","mono_cost",3280.79038428778,0.257129069993712,3281.04751335778
"freq_tim_harvest","freq_tim_harvest",NA,0,0
"timb_benefit","timb_benefit",3014.93505084467,0,3014.93505084467
"num_of_tree","num_of_tree",NA,0,0
"max_tree_harvest","max_tree_harvest",3281.59161428616,0.827771491006888,3282.41938577716
"time_first_tree_est","time_first_tree_est",NA,0,0
"first_tree_est_per","first_tree_est_per",3279.24912435174,0,3279.24912435174
"time_sec_tree_est","time_sec_tree_est",NA,0,0
"sec_tree_est_per","sec_tree_est_per",3266.36695108867,0,3266.36695108867
"CV_tree_yield","CV_tree_yield",3265.8056092216,0,3265.8056092216
"yield_tree_risk","yield_tree_risk",3269.94027684457,0,3269.94027684457
"tree_price","tree_price",3004.37490286778,0,3004.37490286778
"num_coff_tree","num_coff_tree",NA,0,0
"max_coff_harvest","max_coff_harvest",3271.79332776109,73.6872394208692,3345.48056718196
"time_first_coff_est","time_first_coff_est",NA,0,0
"first_coff_est_per","first_coff_est_per",3286.89273198819,0,3286.89273198819
"time_sec_coff_est","time_sec_coff_est",NA,0,0
"sec_coff_est_per","sec_coff_est_per",3266.35940236439,0,3266.35940236439
"coff_frost_yield","coff_frost_yield",3272.23726456694,0,3272.23726456694
"CV_coff_yield","CV_coff_yield",3279.16195897909,0,3279.16195897909
"coff_price","coff_price",3277.77912174503,19.1994226363058,3296.97854438133
"CV_coff_price","CV_coff_price",3268.91333934219,0,3268.91333934219
"max_AFmaize","max_AFmaize",NA,0,0
"min_AFmaize","min_AFmaize",NA,0,0
"decay_rate_AF","decay_rate_AF",NA,0,0
"max_monomaize","max_monomaize",3279.700469175,9.71853237598842,3289.41900155099
"decay_rate_mono","decay_rate_mono",3287.46917135857,0,3287.46917135857
"CV_maize_yield","CV_maize_yield",3247.30698012739,0,3247.30698012739
"maize_price","maize_price",3257.26103681583,11.5061612395453,3268.76719805538
"CV_maize_price","CV_maize_price",3297.45997847479,0,3297.45997847479
"yield_maize_risk","yield_maize_risk",3258.9767121847,0,3258.9767121847
"grass_profit","grass_profit",3005.38747139719,0,3005.38747139719
"CV_grass_profit","CV_grass_profit",3238.14210207116,0,3238.14210207116
"annual_crop","annual_crop",3269.79676684683,0,3269.79676684683
"mono_soil_loss","mono_soil_loss",3279.08591010382,0,3279.08591010382
"reduced_percents1","reduced_percents1",3283.31599769892,0,3283.31599769892
"reduced_percents2","reduced_percents2",3256.81943734636,0,3256.81943734636
"soil_saved_payment","soil_saved_payment",3300.10993301368,0,3300.10993301368
"CV_eros_control","CV_eros_control",3259.86237815415,0,3259.86237815415
"cur_change","cur_change",NA,0,0
"coffee_risk","coffee_risk",3288.08182572409,0,3288.08182572409
"tree_risk","tree_risk",3281.49604569879,0,3281.49604569879
