"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow1"," -3238","-2483","-2336","-2094","-1827","-1554","-1315","-1164","  -431","-1825","1.000","0","0.0000"
"y.cashflow2"," -4224","-3132","-2962","-2670","-2351","-2025","-1744","-1571","  -508","-2351","1.000","0","0.0000"
"y.cashflow3"," -5464","-3698","-3469","-3094","-2686","-2268","-1879","-1660","  -195","-2680","1.000","0","0.0000"
"y.cashflow4"," -6284","-3922","-3627","-3139","-2621","-2073","-1557","-1265","   613","-2603","0.999","0","0.0014"
"y.cashflow5"," -5958","-3776","-3440","-2861","-2239","-1563"," -917"," -457","  4542","-2194","0.978","0","0.0219"
"y.cashflow6"," -5623","-3383","-2981","-2295","-1505"," -612","  348","  951","  7319","-1392","0.859","0","0.1407"
"y.cashflow7"," -5870","-2862","-2417","-1606"," -620","  578"," 1801"," 2738"," 12832"," -414","0.639","0","0.3609"
"y.cashflow8"," -5886","-2419","-1875"," -913","  305"," 1768"," 3342"," 4496"," 14717","  578","0.441","0","0.5594"
"y.cashflow9"," -5421","-2016","-1425"," -297"," 1131"," 2904"," 4896"," 6368"," 21670"," 1511","0.301","0","0.6991"
"y.cashflow10"," -4907","-1510"," -841","  426"," 2108"," 4219"," 6608"," 8350"," 28689"," 2603","0.192","0","0.8078"
"y.cashflow11"," -4831","-1272"," -598","  774"," 2639"," 5017"," 7768"," 9883"," 32505"," 3256","0.154","0","0.8458"
"y.cashflow12"," -4771","-1088"," -381"," 1086"," 3095"," 5657"," 8857","11200"," 37226"," 3824","0.130","0","0.8704"
"y.cashflow13"," -4465"," -962"," -200"," 1330"," 3485"," 6317"," 9725","12382"," 41109"," 4316","0.116","0","0.8838"
"y.cashflow14"," -4409"," -843","  -63"," 1547"," 3818"," 6835","10638","13568"," 46204"," 4748","0.105","0","0.8952"
"y.cashflow15"," -4305"," -754","   51"," 1716"," 4102"," 7288","11335","14463"," 51285"," 5121","0.096","0","0.9036"
"y.cashflow16"," -4594"," -709","  120"," 1824"," 4267"," 7578","11823","15150"," 54931"," 5371","0.092","0","0.9079"
"y.cashflow17"," -4641"," -679","  180"," 1911"," 4435"," 7885","12304","15804"," 61054"," 5618","0.088","0","0.9116"
"y.cashflow18"," -4716"," -636","  245"," 2001"," 4600"," 8156","12806","16452"," 65746"," 5848","0.086","0","0.9142"
"y.cashflow19"," -4726"," -608","  281"," 2077"," 4724"," 8402","13277","17148"," 75723"," 6059","0.083","0","0.9168"
"y.cashflow20"," -4536"," -568","  347"," 2155"," 4892"," 8679","13729","17848"," 82698"," 6305","0.080","0","0.9197"
"y.cashflow21"," -4394"," -532","  378"," 2211"," 4982"," 8871","14083","18431"," 89260"," 6471","0.079","0","0.9210"
"y.cashflow22"," -4394"," -511","  396"," 2261"," 5061"," 9025","14373","18918"," 96893"," 6619","0.078","0","0.9219"
"y.cashflow23"," -4323"," -500","  424"," 2290"," 5134"," 9163","14654","19350","104855"," 6751","0.078","0","0.9223"
"y.cashflow24"," -4311"," -487","  435"," 2314"," 5193"," 9280","14905","19740","111606"," 6867","0.076","0","0.9235"
"y.cashflow25"," -4393"," -465","  449"," 2329"," 5249"," 9377","15117","20198","112173"," 6970","0.076","0","0.9241"
"y.trade_off","-14631","-4854","-3522","-1121"," 1975"," 6165","11734","16522","111467"," 3436","0.341","0","0.6592"
"y.NPV_maize"," -7557"," -289","  380"," 1660"," 3236"," 5117"," 7020"," 8274"," 23307"," 3534","0.069","0","0.9315"
"y.NPV"," -4393"," -465","  449"," 2329"," 5249"," 9377","15117","20198","112173"," 6970","0.076","0","0.9241"
