"","VIP","Coefficient"
"discount_rate",4.38866162788501,-4561.08903486891
"establis_cost",0.21583263885702,-224.312550369028
"main_cost_stage1",0.469931937113971,-488.395230082523
"main_cost_stage2",0.595553110434799,-618.951970328894
"main_cost_stage3",0.660394863382138,-686.341309823795
"CV_cost",0.0171224906074326,17.7952211359807
"mono_cost",0.800646885167574,832.103734208296
"timb_benefit",0.150276278200339,156.180526734023
"max_tree_harvest",1.13678107237577,1181.44439555674
"first_tree_est_per",0.187075657634204,194.425727721795
"sec_tree_est_per",0.326707092513084,339.543182779727
"CV_tree_yield",0.0122169655861245,-12.6969615110421
"yield_tree_risk",0.0790664903045721,-82.1729567078855
"tree_price",1.72386601995775,1791.5954949121
"max_coff_harvest",2.25214809773765,2340.63340135943
"first_coff_est_per",0.202006214926632,209.942896035314
"sec_coff_est_per",0.338146113357101,351.431634650742
"coff_frost_yield",0.437026086094379,-454.196531482737
"CV_coff_yield",0.0238262515874748,24.762368136828
"coff_price",1.58665181356617,1648.99023953668
"CV_coff_price",0.0332923539113845,34.6003869164483
"max_monomaize",1.36480201837761,-1418.42412302564
"decay_rate_mono",0.399878227635971,415.589159976366
"CV_maize_yield",0.06844317933266,71.1322633721038
"maize_price",1.51858708225785,-1578.25129314375
"CV_maize_price",0.0417621220171894,-43.4029262122122
"yield_maize_risk",0.142731613649372,148.33943765654
"grass_profit",0.401940586620465,417.732547584645
"CV_grass_profit",0.0952839848222705,99.0276250987517
"annual_crop",0.00749419760323486,-7.78863931911933
"mono_soil_loss",0.158572504439507,164.802705826125
"reduced_percents1",0.0134308794093784,13.9585691486279
"reduced_percents2",0.0562430828948387,-58.4528337862538
"soil_saved_payment",0.0398486381099864,41.4142628775664
"CV_eros_control",0.0340140857526768,35.3504750906009
"coffee_risk",0.143927300767526,-149.582102474691
"tree_risk",0.165888115498451,-172.405742062117
"maize_risk",0.249571556392474,259.377046078046
