"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow1","-2491","-1827","-1165","-1829","1829","   0.00","  0.00","SQ"
"cashflow2","-3142","-2355","-1578","-2356","2356","   0.00","  0.00","SQ"
"cashflow3","-3694","-2684","-1674","-2685","2685","   0.00","  0.00","SQ"
"cashflow4","-3923","-2628","-1278","-2609","2609","   0.27","  0.27","SQ"
"cashflow5","-3759","-2242"," -449","-2196","2208","  11.98"," 11.98","SQ"
"cashflow6","-3369","-1506","  942","-1395","1525"," 129.60","129.60","SQ"
"cashflow7","-2891"," -636"," 2665"," -431"," 930"," 498.96","498.96","SQ"
"cashflow8","-2408","  253"," 4459","  550"," 557","1107.18","557.35","PA"
"cashflow9","-1996"," 1061"," 6241"," 1475"," 353","1828.43","353.17","PA"
"cashflow10","-1456"," 1997"," 8316"," 2555"," 204","2758.66","203.86","PA"
"cashflow11","-1284"," 2533"," 9738"," 3193"," 160","3353.60","160.39","PA"
"cashflow12","-1106"," 2977","11038"," 3748"," 133","3880.20","132.61","PA"
"cashflow13"," -945"," 3381","12244"," 4235"," 115","4349.43","114.71","PA"
"cashflow14"," -820"," 3707","13369"," 4662"," 102","4763.50","101.82","PA"
"cashflow15"," -737"," 3971","14429"," 5031","  93","5123.75"," 92.85","PA"
"cashflow16"," -673"," 4147","15095"," 5277","  89","5365.40"," 88.54","PA"
"cashflow17"," -627"," 4325","15800"," 5519","  85","5603.69"," 84.62","PA"
"cashflow18"," -595"," 4472","16432"," 5744","  81","5825.65"," 81.41","PA"
"cashflow19"," -557"," 4583","17099"," 5950","  79","6028.72"," 78.83","PA"
"cashflow20"," -507"," 4721","17810"," 6192","  75","6266.95"," 75.08","PA"
"cashflow21"," -484"," 4818","18298"," 6353","  74","6426.28"," 73.60","PA"
"cashflow22"," -471"," 4900","18774"," 6497","  72","6569.23"," 72.34","PA"
"cashflow23"," -459"," 4962","19208"," 6627","  71","6697.89"," 71.34","PA"
"cashflow24"," -447"," 5011","19527"," 6742","  71","6812.74"," 70.51","PA"
"cashflow25"," -442"," 5067","19841"," 6843","  70","6912.94"," 69.86","PA"
"trade_off","-4807"," 1756","16052"," 3276"," 948","4223.67","947.57","PA"
"NPV_maize"," -278"," 3309"," 8364"," 3567","  58","3625.15"," 58.18","PA"
"NPV"," -442"," 5067","19841"," 6843","  70","6912.94"," 69.86","PA"
